id,symbol,name,current_price,market_cap,total_volume,high_24h,low_24h,price_change_percentage_24h,last_updated,faixa_preco_24h
crypto-com-chain,cro,Cronos,0.513574,15911787874,836037489.0,0.524932,0.439536,15.45026,2025-07-08 16:15:56.283000+00:00,0.08539599999999997
okb,okb,OKB,262.12,15736156785,31155104.0,266.09,261.86,-0.65705,2025-07-08 16:15:58.203000+00:00,4.229999999999961
blackrock-usd-institutional-digital-liquidity-fund,buidl,BlackRock USD Institutional Digital Liquidity Fund,5.47,15457577132,0.0,5.49,5.45,-0.11695,2025-07-08 16:15:14.022000+00:00,0.040000000000000036
aptos,apt,Aptos,23.87,15401835474,741381586.0,24.6,23.87,-1.96978,2025-07-08 16:16:02.198000+00:00,0.7300000000000004
jito-staked-sol,jitosol,Jito Staked SOL,993.84,14530675426,219703499.0,1012.07,984.55,-0.99821,2025-07-08 16:15:57.305000+00:00,27.520000000000095
near,near,NEAR Protocol,11.79,14525659308,716736498.0,11.96,11.66,-0.2283,2025-07-08 16:15:58.811000+00:00,0.3000000000000007
internet-computer,icp,Internet Computer,25.89,13858864557,204938671.0,26.38,25.84,-1.03156,2025-07-08 16:15:57.202000+00:00,0.5399999999999991
ethereum-classic,etc,Ethereum Classic,90.67,13841908703,273751187.0,91.45,89.87,0.23844,2025-07-08 16:15:56.101000+00:00,1.5799999999999983
ondo-finance,ondo,Ondo,4.3,13605455017,468174095.0,4.34,4.22,0.5228,2025-07-08 16:15:58.384000+00:00,0.1200000000000001
susds,susds,sUSDS,5.78,12904377013,221037705.0,5.81,5.77,0.07973,2025-07-08 16:16:00.067000+00:00,0.040000000000000036
usd1-wlfi,usd1,USD1,5.47,12033569250,2721186860.0,5.5,5.44,0.16375,2025-07-08 16:16:00.943000+00:00,0.05999999999999961
kaspa,kas,Kaspa,0.412814,10895128130,391795792.0,0.41652,0.407428,-0.48114,2025-07-08 16:15:57.219000+00:00,0.009091999999999989
mantle,mnt,Mantle,3.11,10477183847,890429106.0,3.14,3.05,0.38312,2025-07-08 16:15:57.913000+00:00,0.0900000000000003
fasttoken,ftn,Fasttoken,24.28,10477340247,320456204.0,24.43,24.21,0.02812,2025-07-08 16:15:56.407000+00:00,0.21999999999999886
cosmos,atom,Cosmos Hub,22.16,10159083066,319450813.0,22.45,21.96,-0.25285,2025-07-08 16:15:55.653000+00:00,0.48999999999999844
gatechain-token,gt,Gate,84.52,10101120732,18965673.0,85.6,84.17,-0.13819,2025-07-08 16:15:56.157000+00:00,1.4299999999999926
vechain,vet,VeChain,0.111526,9600367984,146925859.0,0.113452,0.110815,-0.89157,2025-07-08 16:16:00.907000+00:00,0.0026370000000000005
fetch-ai,fet,Artificial Superintelligence Alliance,3.62,9450133292,488092733.0,3.73,3.61,-0.66527,2025-07-08 16:16:01.319000+00:00,0.1200000000000001
official-trump,trump,Official Trump,46.51,9306896047,820211436.0,47.32,46.31,-0.87563,2025-07-08 16:15:58.806000+00:00,1.009999999999998
bonk,bonk,Bonk,0.00011974,9300018402,5330502566.0,0.00012943,0.00011674,-1.11604,2025-07-08 16:15:55.036000+00:00,1.2690000000000016e-05
polygon-ecosystem-token,pol,POL (ex-MATIC),1.02,9198734246,295664334.0,1.031,1.001,1.25777,2025-07-08 16:15:59.139000+00:00,0.030000000000000027
sky,sky,Sky,0.428655,9134763107,29195126.0,0.439029,0.425742,-0.03285,2025-07-08 16:15:59.612000+00:00,0.013286999999999993
lombard-staked-btc,lbtc,Lombard Staked BTC,590254.0,9037395350,85002692.0,597883.0,585610.0,0.00933,2025-07-08 16:15:57.435000+00:00,12273.0
arbitrum,arb,Arbitrum,1.81,8991873089,807513386.0,1.84,1.78,0.98934,2025-07-08 16:15:54.292000+00:00,0.06000000000000005
render-token,render,Render,17.1,8869754162,299674467.0,17.52,17.08,-0.75654,2025-07-08 16:15:59.852000+00:00,0.4400000000000013
ethena,ena,Ethena,1.38,8781923858,613435953.0,1.43,1.38,-2.50455,2025-07-08 16:15:56.107000+00:00,0.050000000000000044
quant-network,qnt,Quant,585.82,8521442233,75388114.0,590.35,576.83,-0.23467,2025-07-08 16:15:59.568000+00:00,13.519999999999982
binance-peg-weth,weth,Binance-Peg WETH,14007.34,8477104755,245255563.0,14147.0,13810.35,1.07102,2025-07-08 16:15:55.241000+00:00,336.64999999999964
filecoin,fil,Filecoin,12.38,8415873234,732039823.0,12.6,12.3,-0.33894,2025-07-08 16:15:56.412000+00:00,0.29999999999999893
jupiter-perpetuals-liquidity-provider-token,jlp,Jupiter Perpetuals Liquidity Provider Token,24.5,8323557776,162974275.0,24.74,24.44,-0.27535,2025-07-08 16:15:57.119000+00:00,0.29999999999999716
algorand,algo,Algorand,0.958779,8296734299,209781452.0,0.969997,0.950174,-0.01771,2025-07-08 16:16:01.937000+00:00,0.019823000000000035
worldcoin-wld,wld,Worldcoin,4.68,7999350614,512638010.0,4.8,4.67,-1.92018,2025-07-08 16:16:01.224000+00:00,0.1299999999999999
usdtb,usdtb,USDtb,5.46,7966573848,3946128.0,5.49,5.45,0.06853,2025-07-08 16:16:00.721000+00:00,0.040000000000000036
first-digital-usd,fdusd,First Digital USD,5.46,7881421847,31030213948.0,5.49,5.43,0.08534,2025-07-08 16:15:56.635000+00:00,0.0600000000000005
kucoin-shares,kcs,KuCoin,60.38,7699689652,11525620.0,60.75,59.96,0.67319,2025-07-08 16:15:57.143000+00:00,0.7899999999999991
binance-staked-sol,bnsol,Binance Staked SOL,869.08,7675445157,12354122.0,882.84,860.52,-0.88672,2025-07-08 16:16:02.838000+00:00,22.32000000000005
sei-network,sei,Sei,1.37,7618296411,577939654.0,1.42,1.37,-2.09664,2025-07-08 16:15:59.834000+00:00,0.04999999999999982
usdt0,usdt0,USDT0,5.46,7442877923,1322305604.0,5.5,5.45,0.06002,2025-07-08 16:16:01.532000+00:00,0.04999999999999982
jupiter-exchange-solana,jup,Jupiter,2.33,6998851478,215446039.0,2.41,2.32,-3.01936,2025-07-08 16:15:57.328000+00:00,0.0900000000000003
kelp-dao-restaked-eth,rseth,Kelp DAO Restaked ETH,14676.86,6698537220,2478052.0,14853.47,14468.88,1.1007,2025-07-08 16:15:56.852000+00:00,384.59000000000015
nexo,nexo,NEXO,6.64,6641534064,54031315.0,6.76,6.63,0.10766,2025-07-08 16:15:58.059000+00:00,0.1299999999999999
